# dimensionless total [l(l+1)/2pi] C_l's
# for l=2 to 3000, i.e. number of multipoles equal to 2999
#
# -> if you prefer output in CAMB/HealPix/LensPix units/order, set 'format' to 'camb' in input file
# -> if you don't want to see such a header, set 'headers' to 'no' in input file
# -> for CMB lensing (phi), these are C_l^phi-phi for the lensing potential.
#    Remember the conversion factors:
#    C_l^dd (deflection) = l(l+1) C_l^phi-phi
#    C_l^gg (shear/convergence) = 1/4 (l(l+1))^2 C_l^phi-phi
#
# 1:l     2:TT                     3:EE                     4:TE                     5:BB                     6:phiphi                 7:TPhi                   8:Ephi               
    2       1.397068408725e-10       4.132485078749e-15       3.531682512084e-13       0.000000000000e+00       8.371787977290e-09       4.580789477168e-10      -1.841785083391e-12 
    3       1.320459589553e-10       5.288677142396e-15       3.959644826532e-13       0.000000000000e+00       5.116016054447e-09       3.238196728487e-10      -1.394205087705e-12 
    4       1.248627095604e-10       4.571507400616e-15       3.700058903066e-13       0.000000000000e+00       3.542680175318e-09       2.447429808634e-10      -9.120210946111e-13 
    5       1.194911910379e-10       3.048795492280e-15       3.150254734660e-13       0.000000000000e+00       2.635978942970e-09       1.930820562289e-10      -5.065664238290e-13 
    6       1.157987420678e-10       1.705050930140e-15       2.537764620790e-13       0.000000000000e+00       2.053577902998e-09       1.569331799981e-10      -2.080906125300e-13 
    7       1.133742098607e-10       9.223272475876e-16       1.994282581940e-13       0.000000000000e+00       1.652815329030e-09       1.303976969389e-10      -1.788414612666e-14 
    8       1.119451007107e-10       5.960028650204e-16       1.576943982981e-13       0.000000000000e+00       1.363078870222e-09       1.102954032842e-10       7.906776902294e-14 
    9       1.112708717487e-10       4.787135850414e-16       1.297877039860e-13       0.000000000000e+00       1.145786182586e-09       9.474197425574e-11       1.061075264862e-13 
   10       1.110933293819e-10       4.078970270320e-16       1.143758279286e-13       0.000000000000e+00       9.780374626787e-10       8.244642637209e-11       8.906688338798e-14 
   11       1.113754940249e-10       3.426727160886e-16       1.087993903690e-13       0.000000000000e+00       8.376100767549e-10       7.325123744246e-11       5.202378629402e-14 
   12       1.119494350907e-10       2.985382769579e-16       1.100131164056e-13       0.000000000000e+00       7.319496528177e-10       6.472328655648e-11       1.240664363799e-14 
   13       1.127585028249e-10       2.864584866207e-16       1.153802415154e-13       0.000000000000e+00       6.452014505332e-10       5.780790470071e-11      -1.778916529496e-14 
   14       1.137915978063e-10       2.986605697646e-16       1.228736542483e-13       0.000000000000e+00       5.730216344293e-10       5.184719473642e-11      -3.429109745194e-14 
   15       1.150014225129e-10       3.236055524754e-16       1.311580007790e-13       0.000000000000e+00       5.122645070329e-10       4.680172541237e-11      -3.737736691446e-14 
   16       1.163108099261e-10       3.588512808788e-16       1.396038702491e-13       0.000000000000e+00       4.606025970652e-10       4.243991008168e-11      -3.089745953010e-14 
   17       1.177551249351e-10       4.096804930420e-16       1.481041044858e-13       0.000000000000e+00       4.162814760659e-10       3.862664107050e-11      -2.000864923564e-14 
   18       1.192786829704e-10       4.812824634205e-16       1.567465116936e-13       0.000000000000e+00       3.778146123205e-10       3.531993699454e-11      -9.587231233616e-15 
   19       1.208948264925e-10       5.740846920661e-16       1.657340152910e-13       0.000000000000e+00       3.445795212491e-10       3.246505181042e-11      -2.238115356691e-15 
   20       1.225940971443e-10       6.862974111726e-16       1.752713805297e-13       0.000000000000e+00       3.153085980888e-10       2.992377744542e-11       3.180726991207e-16 
   21       1.243693676909e-10       8.172610015144e-16       1.853350124753e-13       0.000000000000e+00       2.895426087602e-10       2.764703978384e-11      -1.359964221593e-15 
   22       1.261854283733e-10       9.664078195075e-16       1.957438175095e-13       0.000000000000e+00       2.666615095916e-10       2.558389082661e-11      -5.532382379400e-15 
   23       1.280563176479e-10       1.134007073107e-15       2.061468392606e-13       0.000000000000e+00       2.463512051406e-10       2.373820219306e-11      -1.045523252971e-14 
   24       1.299882358038e-10       1.320400166158e-15       2.160986552730e-13       0.000000000000e+00       2.281439518522e-10       2.210409288323e-11      -1.427042339443e-14 
   25       1.319730680043e-10       1.525660227388e-15       2.253192117368e-13       0.000000000000e+00       2.118257465258e-10       2.064246300445e-11      -1.615864657516e-14 
   26       1.339852005585e-10       1.750001773730e-15       2.335834629199e-13       0.000000000000e+00       1.971010096950e-10       1.929374452985e-11      -1.580302373292e-14 
   27       1.360311605269e-10       1.995385712282e-15       2.407875237305e-13       0.000000000000e+00       1.837936631175e-10       1.805753576576e-11      -1.383733557463e-14 
   28       1.381171095802e-10       2.264316589416e-15       2.468932485951e-13       0.000000000000e+00       1.716750676938e-10       1.694174522870e-11      -1.127877475136e-14 
   29       1.402502547408e-10       2.558316719665e-15       2.519572218454e-13       0.000000000000e+00       1.606834392880e-10       1.594086804653e-11      -8.764141887355e-15 
   30       1.424249965448e-10       2.878611292461e-15       2.561013579102e-13       0.000000000000e+00       1.507006119872e-10       1.503341809053e-11      -6.921963080474e-15 
   31       1.446252332066e-10       3.226339073227e-15       2.594516279001e-13       0.000000000000e+00       1.415228557463e-10       1.418968898642e-11      -6.331065615992e-15 
   32       1.468553731058e-10       3.602296810866e-15       2.619608049247e-13       0.000000000000e+00       1.331029560563e-10       1.340483100331e-11      -6.818999840726e-15 
   33       1.491183083882e-10       4.007081430645e-15       2.635185346881e-13       0.000000000000e+00       1.253816852792e-10       1.267658673863e-11      -7.888165554334e-15 
   34       1.514094273584e-10       4.441272980369e-15       2.639988127321e-13       0.000000000000e+00       1.182513203020e-10       1.199886039828e-11      -8.981591185282e-15 
   35       1.537282971562e-10       4.905882920829e-15       2.632717549867e-13       0.000000000000e+00       1.116754246571e-10       1.137149737844e-11      -9.819364141086e-15 
   36       1.560692560306e-10       5.402058484003e-15       2.611935393332e-13       0.000000000000e+00       1.056012169128e-10       1.079310736719e-11      -1.017144266466e-14 
   37       1.584228587516e-10       5.930881459289e-15       2.576327861823e-13       0.000000000000e+00       9.994963074069e-11       1.025943519968e-11      -9.851418907306e-15 
   38       1.607947491278e-10       6.493080181178e-15       2.525762878711e-13       0.000000000000e+00       9.470611547598e-11       9.768012516106e-12      -9.007952761784e-15 
   39       1.631918874771e-10       7.089215800456e-15       2.460588578936e-13       0.000000000000e+00       8.985411514330e-11       9.314478712424e-12      -7.933265101480e-15 
   40       1.656168508063e-10       7.719751271049e-15       2.381366730824e-13       0.000000000000e+00       8.534745111737e-11       8.890961970009e-12      -6.991056147546e-15 
   41       1.680691348972e-10       8.385128440337e-15       2.288647453727e-13       0.000000000000e+00       8.112642403803e-11       8.488628724639e-12      -6.521273643104e-15 
   42       1.705507882521e-10       9.086044726095e-15       2.182174336465e-13       0.000000000000e+00       7.717863665149e-11       8.107031234745e-12      -6.506039516095e-15 
   43       1.730617594536e-10       9.823255847916e-15       2.061442146291e-13       0.000000000000e+00       7.349362074969e-11       7.747312141312e-12      -6.802738090222e-15 
   44       1.755978714241e-10       1.059749959075e-14       1.925909124933e-13       0.000000000000e+00       7.004458350509e-11       7.409531490307e-12      -7.232267461027e-15 
   45       1.781533918757e-10       1.140944901463e-14       1.775027379260e-13       0.000000000000e+00       6.679798258593e-11       7.092941194421e-12      -7.618574963686e-15 
   46       1.807305629639e-10       1.225955684027e-14       1.608353308313e-13       0.000000000000e+00       6.374872773332e-11       6.797133170849e-12      -7.926671619339e-15 
   47       1.833322695735e-10       1.314816350329e-14       1.425464111212e-13       0.000000000000e+00       6.089329230141e-11       6.521070660194e-12      -8.162043084226e-15 
   48       1.859591263292e-10       1.407553611083e-14       1.225925113887e-13       0.000000000000e+00       5.821909623442e-11       6.262674283073e-12      -8.332589499056e-15 
   49       1.886092649347e-10       1.504186517206e-14       1.009288151761e-13       0.000000000000e+00       5.570383269943e-11       6.018747103104e-12      -8.448777444067e-15 
   50       1.912799829726e-10       1.604729192508e-14       7.751421130392e-14       0.000000000000e+00       5.332219068239e-11       5.785891372415e-12      -8.524517898560e-15 
   51       1.939737112878e-10       1.709200664799e-14       5.232844946256e-14       0.000000000000e+00       5.106973621884e-11       5.563725980633e-12      -8.579728530794e-15 
   52       1.966932987874e-10       1.817617138162e-14       2.535936174869e-14       0.000000000000e+00       4.894434949684e-11       5.352412812825e-12      -8.638729576359e-15 
   53       1.994401704559e-10       1.929988987896e-14      -3.401864653975e-15       0.000000000000e+00       4.693907784666e-11       5.151713798603e-12      -8.729760325792e-15 
   54       2.022142022935e-10       2.046320577546e-14      -3.396060374482e-14       0.000000000000e+00       4.504181041890e-11       4.960962642519e-12      -8.885165244557e-15 
