# Matter power spectrum P(k) at redshift z=1
# for k=1.04272e-05 to 5.29922 h/Mpc,
# number of wavenumbers equal to 556
#    1:k (h/Mpc)              2:P (Mpc/h)^3        
       1.042721222072e-05       1.831102248162e+01 
       2.326940071722e-05       3.965401873775e+01 
       3.615650358602e-05       6.060696637344e+01 
       4.912298588895e-05       8.140146200841e+01 
       6.220387954818e-05       1.021682566082e+02 
       7.543509384604e-05       1.230047024827e+02 
       8.885373579883e-05       1.439936246457e+02 
       1.024984446421e-04       1.652110427714e+02 
       1.164097446970e-04       1.867301055198e+02 
       1.306304209218e-04       2.086234644190e+02 
       1.452059214576e-04       2.309649100789e+02 
       1.601847914240e-04       2.538306370733e+02 
       1.756191420481e-04       2.773003169515e+02 
       1.915651588556e-04       3.014580713121e+02 
       2.080836520204e-04       3.263934016556e+02 
       2.252406509312e-04       3.522021043524e+02 
       2.431080434315e-04       3.789871870202e+02 
       2.617642578047e-04       4.068597902562e+02 
       2.812949821548e-04       4.359401104989e+02 
       3.017939110511e-04       4.663583089160e+02 
       3.233635027954e-04       4.982553763260e+02 
       3.461157220481e-04       5.317839167477e+02 
       3.701727314300e-04       5.671087862179e+02 
       3.956674818632e-04       6.044075125482e+02 
       4.227441348055e-04       6.438703858839e+02 
       4.515582306692e-04       6.857001036178e+02 
       4.822764978386e-04       7.301108006419e+02 
       5.150761782152e-04       7.773263194535e+02 
       5.501437320088e-04       8.275775022815e+02 
       5.876727821383e-04       8.810983685164e+02 
       6.278611742111e-04       9.381210316076e+02 
       6.709070693508e-04       9.988692994949e+02 
       7.170040606051e-04       1.063551041287e+03 
       7.663354115254e-04       1.132349557376e+03 
       8.190676520760e-04       1.205414389460e+03 
       8.753439156747e-04       1.282852223694e+03 
       9.352775337530e-04       1.364718663225e+03 
       9.989464852370e-04       1.451011747480e+03 
       1.066389294278e-03       1.541667981314e+03 
       1.137602861595e-03       1.636561465253e+03 
       1.212542509737e-03       1.735506342278e+03 
       1.291124255813e-03       1.838262418725e+03 
       1.373229052481e-03       1.944538369302e+03 
       1.458708517675e-03       2.054006578051e+03 
       1.547391547860e-03       2.166328904931e+03 
       1.639091192574e-03       2.281144112690e+03 
       1.733611244858e-03       2.398087430605e+03 
       1.830752139510e-03       2.516799402399e+03 
       1.930315910054e-03       2.636933189373e+03 
       2.032110103673e-03       2.758159886969e+03 
       2.135950671017e-03       2.880171943721e+03 
       2.241663927392e-03       3.002685528914e+03 
       2.349087725404e-03       3.125441096791e+03 
       2.458071993982e-03       3.248203494553e+03 
       2.568478793794e-03       3.370761163118e+03 
       2.680182022510e-03       3.492925093691e+03 
       2.793066881599e-03       3.614527493673e+03 
       2.907029193666e-03       3.735419847675e+03 
       3.021974638312e-03       3.855471791860e+03 
       3.137817956453e-03       3.974568702835e+03 
       3.254482158223e-03       4.092610897675e+03 
       3.371897758070e-03       4.209511254051e+03 
       3.490002051858e-03       4.325194591252e+03 
       3.608738444355e-03       4.439595665319e+03 
       3.728055830933e-03       4.552659422737e+03 
       3.847908034132e-03       4.664337755758e+03 
       3.968253293661e-03       4.774591310171e+03 
       4.089053807114e-03       4.883385926345e+03 
       4.210275317943e-03       4.990694656749e+03 
       4.331886746844e-03       5.096493871394e+03 
       4.453859862672e-03       5.200767016298e+03 
       4.576168989034e-03       5.303498860706e+03 
       4.698790742927e-03       5.404678769902e+03 
       4.821703802024e-03       5.504300324933e+03 
       4.944888697485e-03       5.602357648911e+03 
       5.068327629473e-03       5.698849944574e+03 
       5.192004302815e-03       5.793775211915e+03 
       5.315903780521e-03       5.887135783542e+03 
       5.440012353135e-03       5.978935473767e+03 
       5.564317422097e-03       6.069177216191e+03 
       5.688807395528e-03       6.157870797276e+03 
       5.813471595002e-03       6.245020011364e+03 
       5.938300172079e-03       6.330635545139e+03 
       6.063284033468e-03       6.414717778529e+03 
       6.188414773868e-03       6.497337925406e+03 
       6.313684615622e-03       6.578592196511e+03 
       6.439086354422e-03       6.658139686706e+03 
       6.564613310402e-03       6.736206760500e+03 
       6.690259284037e-03       6.812808263010e+03 
       6.816018516314e-03       6.887961478647e+03 
       6.941885652727e-03       6.961672487435e+03 
       7.067855710688e-03       7.033948676376e+03 
       7.193924049989e-03       7.104804226564e+03 
       7.320086346001e-03       7.174250938290e+03 
       7.446338565337e-03       7.242308231690e+03 
       7.572676943701e-03       7.308987443312e+03 
       7.699097965737e-03       7.374312996690e+03 
       7.825598346650e-03       7.438279179700e+03 
       7.952175015441e-03       7.500893812800e+03 
       8.078825099585e-03       7.562187235747e+03 
