# dimensionless total lensed [l(l+1)/2pi] C_l's
# for l=2 to 2500, i.e. number of multipoles equal to 2499
#
# -> if you prefer output in CAMB/HealPix/LensPix units/order, set 'format' to 'camb' in input file
# -> if you don't want to see such a header, set 'headers' to 'no' in input file
# -> for CMB lensing (phi), these are C_l^phi-phi for the lensing potential.
#    Remember the conversion factors:
#    C_l^dd (deflection) = l(l+1) C_l^phi-phi
#    C_l^gg (shear/convergence) = 1/4 (l(l+1))^2 C_l^phi-phi
#
# 1:l     2:TT                     3:EE                     4:TE                     5:BB                     6:phiphi                 7:TPhi                   8:Ephi               
    2       1.395281571011e-10       4.089767375394e-15       3.513671207309e-13       2.347111638902e-19       8.380844902202e-09       4.570177125292e-10      -1.833283984816e-12 
    3       1.319218087708e-10       5.237858410753e-15       3.941445916009e-13       4.695181025661e-19       5.122307320142e-09       3.230654372040e-10      -1.387546099446e-12 
    4       1.247783273324e-10       4.530274055322e-15       3.683179339633e-13       7.827410721721e-19       3.544642207442e-09       2.441878393086e-10      -9.079257486695e-13 
    5       1.194294592049e-10       3.023713519519e-15       3.136523163959e-13       1.174502452904e-18       2.637118348062e-09       1.926355828059e-10      -5.045115673766e-13 
    6       1.157546537101e-10       1.693216624433e-15       2.527703434318e-13       1.644950773129e-18       2.054678793335e-09       1.565653737708e-10      -2.074724553222e-13 
    7       1.133517561076e-10       9.178747201029e-16       1.987502741328e-13       2.194257946199e-18       1.653952486004e-09       1.301163924375e-10      -1.809590819260e-14 
    8       1.119381589930e-10       5.948207677842e-16       1.572655136369e-13       2.822616146592e-18       1.364269158277e-09       1.100822355200e-10       7.852300293493e-14 
    9       1.112632939152e-10       4.792329011886e-16       1.295361204704e-13       3.530234418499e-18       1.146862328451e-09       9.455452713595e-11       1.055804530617e-13 
   10       1.110971978487e-10       4.098805495700e-16       1.142410636215e-13       4.317335116516e-18       9.788141910352e-10       8.226317033937e-11       8.874674384356e-14 
   11       1.113791436818e-10       3.460936860549e-16       1.087136464951e-13       5.184150281041e-18       8.380151504151e-10       7.307231946883e-11       5.193034414983e-14 
   12       1.119590178285e-10       3.032661862561e-16       1.099627038394e-13       6.130918050419e-18       7.323002591142e-10       6.460876039901e-11       1.253405652147e-14 
   13       1.127852213026e-10       2.923945663291e-16       1.153384154213e-13       7.157879207708e-18       6.455080864462e-10       5.773633897321e-11      -1.754885371544e-14 
   14       1.138073795011e-10       3.058770647069e-16       1.228204337191e-13       8.265273952438e-18       5.732924326685e-10       5.174541461547e-11      -3.408708265566e-14 
   15       1.150147195246e-10       3.322799220069e-16       1.311223207178e-13       9.453338977225e-18       5.125054823242e-10       4.670678616715e-11      -3.721670187806e-14 
   16       1.163339593597e-10       3.690493755144e-16       1.396385442415e-13       1.072230491591e-17       4.608185373372e-10       4.236632833512e-11      -3.080201356885e-14 
   17       1.177882174707e-10       4.213410733866e-16       1.481504878025e-13       1.207239421466e-17       4.164763213452e-10       3.857976998828e-11      -1.996380889051e-14 
   18       1.193161037671e-10       4.944789967612e-16       1.568070005838e-13       1.350381927611e-17       3.779913295324e-10       3.527533052553e-11      -9.560439039332e-15 
   19       1.209294010984e-10       5.888955883893e-16       1.658223824146e-13       1.501678218535e-17       3.447408875326e-10       3.240717692483e-11      -2.200141224357e-15 
   20       1.226197275168e-10       7.027408456884e-16       1.753748916652e-13       1.661147193996e-17       3.154565326927e-10       2.986399245057e-11       3.882764660903e-16 
   21       1.243891468791e-10       8.353472003852e-16       1.854306137586e-13       1.828806703660e-17       2.896787767776e-10       2.759904340244e-11      -1.244882591883e-15 
   22       1.262122239958e-10       9.861656806322e-16       1.958088088894e-13       2.004673242949e-17       2.667873183808e-10       2.555302006403e-11      -5.370720760581e-15 
   23       1.280929039344e-10       1.155507778776e-15       2.061852320006e-13       2.188762353708e-17       2.464679158503e-10       2.371557494887e-11      -1.025797648347e-14 
   24       1.300234788491e-10       1.343772168758e-15       2.161457703497e-13       2.381088314810e-17       2.282525915530e-10       2.206918461082e-11      -1.406174107307e-14 
   25       1.320072560866e-10       1.551081740827e-15       2.253961422830e-13       2.581664708541e-17       2.119272094200e-10       2.059568106479e-11      -1.596676699572e-14 
   26       1.340346929612e-10       1.777678844978e-15       2.336838978335e-13       2.790504048038e-17       1.971960154425e-10       1.926180301153e-11      -1.565178395650e-14 
   27       1.360994412615e-10       2.025437806402e-15       2.409055419377e-13       3.007618318306e-17       1.838828469484e-10       1.804861142903e-11      -1.372281105339e-14 
   28       1.381875845763e-10       2.296741728093e-15       2.470297703582e-13       3.233018721133e-17       1.717589675985e-10       1.693429135401e-11      -1.116641609402e-14 
   29       1.403085191338e-10       2.593077358283e-15       2.521044796467e-13       3.466716544077e-17       1.607625684732e-10       1.591733931167e-11      -8.631563452045e-15 
   30       1.424677565317e-10       2.915661627594e-15       2.562357414749e-13       3.708722439393e-17       1.507754326154e-10       1.499380103096e-11      -6.777680568342e-15 
   31       1.446602280682e-10       3.265646418422e-15       2.595385448639e-13       3.959046418130e-17       1.415937384070e-10       1.415094038671e-11      -6.212781035943e-15 
   32       1.468888249764e-10       3.643927223196e-15       2.619898760277e-13       4.217698925814e-17       1.331702416941e-10       1.337978027637e-11      -6.754289422830e-15 
   33       1.491500946896e-10       4.051248670563e-15       2.635206947869e-13       4.484690152819e-17       1.254456749637e-10       1.266548749620e-11      -7.878219754514e-15 
   34       1.514337034982e-10       4.488306119470e-15       2.640428339322e-13       4.760029898301e-17       1.183122542656e-10       1.198991379297e-11      -9.001808267556e-15 
   35       1.537423148300e-10       4.955960424418e-15       2.634140090755e-13       5.043728071021e-17       1.117335300790e-10       1.135499854309e-11      -9.846588528001e-15 
   36       1.560769279127e-10       5.455089900135e-15       2.614576900551e-13       5.335794377648e-17       1.056567067118e-10       1.076679702634e-11      -1.019395125727e-14 
   37       1.584341382278e-10       5.986533716107e-15       2.580084332051e-13       5.636238130621e-17       1.000026915637e-10       1.022840722138e-11      -9.869047093445e-15 
   38       1.608177028534e-10       6.551103343159e-15       2.530424850051e-13       5.945068001206e-17       9.475692768446e-11       9.737790745255e-12      -9.021665115194e-15 
   39       1.632296343242e-10       7.149569483469e-15       2.465906239330e-13       6.262292197895e-17       8.990284882937e-11       9.288707147691e-12      -7.941897538994e-15 
   40       1.656663568323e-10       7.782655063219e-15       2.387048520667e-13       6.587918539633e-17       8.539425199044e-11       8.870878311935e-12      -6.990845937973e-15 
   41       1.681217810456e-10       8.451039491853e-15       2.294369192526e-13       6.921954149377e-17       8.117140756380e-11       8.473121527970e-12      -6.506367694253e-15 
   42       1.705991373928e-10       9.155380535508e-15       2.187623852519e-13       7.264404401810e-17       7.722191311542e-11       8.094761423686e-12      -6.472391403050e-15 
   43       1.731020111819e-10       9.896294363203e-15       2.066340093407e-13       7.615273642173e-17       7.353529740723e-11       7.737382625470e-12      -6.749669853445e-15 
   44       1.756306889743e-10       1.067434627450e-14       1.930021133781e-13       7.974565452809e-17       7.008475756724e-11       7.401602834118e-12      -7.163157912837e-15 
   45       1.781835612307e-10       1.149004887320e-14       1.778186328289e-13       8.342282274638e-17       6.683673806903e-11       7.087199283787e-12      -7.540438115950e-15 
   46       1.807626159333e-10       1.234386205493e-14       1.610513662495e-13       8.718424175028e-17       6.378614662220e-11       6.793743113988e-12      -7.845916405238e-15 
   47       1.833690202319e-10       1.323618859981e-14       1.426735150422e-13       9.102989683860e-17       6.092945470880e-11       6.520003125362e-12      -8.082977557786e-15 
   48       1.860012996418e-10       1.416737091678e-14       1.226596986900e-13       9.495976087592e-17       5.825407619117e-11       6.263672033152e-12      -8.256949551659e-15 
   49       1.886551046347e-10       1.513768849188e-14       1.009859272294e-13       9.897379392113e-17       5.573769363015e-11       6.021289802607e-12      -8.375228950796e-15 
   50       1.913255259096e-10       1.614734689587e-14       7.762798937993e-14       1.030719430748e-16       5.335498418774e-11       5.789236042308e-12      -8.449100518106e-15 
   51       1.940153226017e-10       1.719644720972e-14       5.255616499454e-14       1.072541428345e-16       5.110151256576e-11       5.567202611887e-12      -8.499487437970e-15 
   52       1.967285240655e-10       1.828500388914e-14       2.573902978191e-14       1.115203141938e-16       4.897515903495e-11       5.355531094960e-12      -8.552978662115e-15 
   53       1.994679656213e-10       1.941294960083e-14      -2.855185453485e-15       1.158703640791e-16       4.696896894049e-11       5.154200394412e-12      -8.640471346541e-15 
   54       2.022351750833e-10       2.058013227349e-14      -3.325869689545e-14       1.203041849885e-16       4.507082723590e-11       4.962800376407e-12      -8.797375964802e-15 
   55       2.050308386897e-10       2.178638538657e-14      -6.549956312884e-14       1.248216634607e-16       4.326715623628e-11       4.780743080005e-12      -9.052599103982e-15 
   56       2.078565943872e-10       2.303176604000e-14      -9.958629799600e-14       1.294227087742e-16       4.155583020129e-11       4.608018167990e-12      -9.391816951944e-15 
   57       2.107134852831e-10       2.431637086074e-14      -1.355196140519e-13       1.341072307448e-16       3.993589893247e-11       4.444578981656e-12      -9.785437427892e-15 
