# Matter power spectrum P(k) at redshift z=0
# for k=1.05238e-05 to 5.17653 h/Mpc,
# number of wavenumbers equal to 554
#    1:k (h/Mpc)              2:P (Mpc/h)^3        
       1.052381990776e-05       4.823181227567e+01 
       2.358712964839e-05       1.048870627128e+02 
       3.669748290064e-05       1.605075570191e+02 
       4.989116184147e-05       2.157159155425e+02 
       6.320506387460e-05       2.708648611373e+02 
       7.667703997849e-05       3.262181288879e+02 
       9.034624414234e-05       3.820009973442e+02 
       1.042534986606e-04       4.384209538654e+02 
       1.184416800918e-04       4.956782931103e+02 
       1.329561307217e-04       5.539725329985e+02 
       1.478451003722e-04       6.135068814258e+02 
       1.631602233175e-04       6.744917160083e+02 
       1.789570348479e-04       7.371475673261e+02 
       1.952955315740e-04       8.017078428351e+02 
       2.122407787675e-04       8.684214520349e+02 
       2.298635667449e-04       9.375553901469e+02 
       2.482411163021e-04       1.009397342850e+03 
       2.674578302515e-04       1.084258295744e+03 
       2.876060838684e-04       1.162475145468e+03 
       3.087870411288e-04       1.244413253430e+03 
       3.311114755838e-04       1.330468847531e+03 
       3.547005640892e-04       1.421071144550e+03 
       3.796866079997e-04       1.516684005879e+03 
       4.062136196069e-04       1.617806866272e+03 
       4.344376917005e-04       1.724974631329e+03 
       4.645270460106e-04       1.838756133456e+03 
       4.966616338462e-04       1.959750688381e+03 
       5.310321429153e-04       2.088582236842e+03 
       5.678382534483e-04       2.225890551146e+03 
       6.072859916849e-04       2.372319036718e+03 
       6.495840583952e-04       2.528498815250e+03 
       6.949390731493e-04       2.695029093396e+03 
       7.435497773595e-04       2.872454154490e+03 
       7.956003794287e-04       3.061237970935e+03 
       8.512533909941e-04       3.261737921202e+03 
       9.106424676804e-04       3.474179725573e+03 
       9.738658923984e-04       3.698636119819e+03 
       1.040981381908e-03       3.935011674805e+03 
       1.112002826430e-03       4.183036048396e+03 
       1.186899381453e-03       4.442266819208e+03 
       1.265597048517e-03       4.712096291746e+03 
       1.347982565593e-03       4.991747669092e+03 
       1.433909147768e-03       5.280408601452e+03 
       1.523203434306e-03       5.577148827358e+03 
       1.615672937511e-03       5.880990659279e+03 
       1.711113345655e-03       6.190938584742e+03 
       1.809315172446e-03       6.506005318947e+03 
       1.910069423885e-03       6.825232857498e+03 
       2.013172128639e-03       7.147708682202e+03 
       2.118427722416e-03       7.472577222270e+03 
       2.225651378040e-03       7.799046981242e+03 
       2.334670431129e-03       8.126393723271e+03 
       2.445325074101e-03       8.453961164344e+03 
       2.557468489108e-03       8.781159300321e+03 
       2.670966573313e-03       9.107460001931e+03 
       2.785697385598e-03       9.432396058349e+03 
       2.901550417867e-03       9.755552927604e+03 
       3.018425769749e-03       1.007656697089e+04 
       3.136233284534e-03       1.039511845535e+04 
       3.254891686948e-03       1.071092998840e+04 
       3.374327749958e-03       1.102375824526e+04 
       3.494475507608e-03       1.133339402091e+04 
       3.615275523475e-03       1.163965581116e+04 
       3.736674219052e-03       1.194238932556e+04 
       3.858623262779e-03       1.224146074134e+04 
       3.981079018069e-03       1.253675911437e+04 
       4.104002047228e-03       1.282818904171e+04 
       4.227356667314e-03       1.311567403029e+04 
       4.351110553654e-03       1.339914865225e+04 
       4.475234386593e-03       1.367856331346e+04 
       4.599701537209e-03       1.395387734031e+04 
       4.724487787920e-03       1.422505740269e+04 
       4.849571084209e-03       1.449203533969e+04 
       4.974931314027e-03       1.475490640293e+04 
       5.100550111726e-03       1.501357451806e+04 
       5.226410683736e-03       1.526805595686e+04 
       5.352497653465e-03       1.551837153945e+04 
       5.478796923192e-03       1.576457634529e+04 
       5.605295550993e-03       1.600659744731e+04 
       5.731981640938e-03       1.624374983068e+04 
       5.858844245035e-03       1.647749582451e+04 
       5.985873275557e-03       1.670713807294e+04 
       6.113059426563e-03       1.693265687096e+04 
       6.240394103562e-03       1.715417486824e+04 
       6.367869360400e-03       1.737183208265e+04 
       6.495477842550e-03       1.758566082168e+04 
       6.623212736100e-03       1.779506133752e+04 
       6.751067721800e-03       1.800056303729e+04 
       6.879036933619e-03       1.820210903866e+04 
       7.007114921318e-03       1.839989764857e+04 
