# dimensionless total [l(l+1)/2pi] C_l's
# for l=2 to 3000, i.e. number of multipoles equal to 2999
#
# -> if you prefer output in CAMB/HealPix/LensPix units/order, set 'format' to 'camb' in input file
# -> if you don't want to see such a header, set 'headers' to 'no' in input file
# -> for CMB lensing (phi), these are C_l^phi-phi for the lensing potential.
#    Remember the conversion factors:
#    C_l^dd (deflection) = l(l+1) C_l^phi-phi
#    C_l^gg (shear/convergence) = 1/4 (l(l+1))^2 C_l^phi-phi
#
# 1:l     2:TT                     3:EE                     4:TE                     5:BB                     6:phiphi                 7:TPhi                   8:Ephi               
    2       1.373182749953e-10       6.545093114652e-15       4.266261444581e-13       0.000000000000e+00       8.021215411331e-09       4.608520421516e-10      -2.259959404567e-12 
    3       1.292176795070e-10       1.054492748323e-14       5.279760091571e-13       0.000000000000e+00       4.928827484096e-09       3.268225717123e-10      -1.945416237330e-12 
    4       1.214182661764e-10       1.165858035216e-14       5.373797704207e-13       0.000000000000e+00       3.416065253925e-09       2.479184853497e-10      -1.506007916666e-12 
    5       1.153546118989e-10       1.013611523854e-14       4.947921830393e-13       0.000000000000e+00       2.542993050960e-09       1.962658588228e-10      -1.072274593863e-12 
    6       1.109720647441e-10       7.301412306973e-15       4.276311234404e-13       0.000000000000e+00       1.981842947316e-09       1.599342379717e-10      -6.890304095024e-13 
    7       1.079158349743e-10       4.515323868957e-15       3.543189079972e-13       0.000000000000e+00       1.595489457526e-09       1.331188647927e-10      -3.775562147124e-13 
    8       1.059582507948e-10       2.552530544640e-15       2.855766026671e-13       0.000000000000e+00       1.316264435078e-09       1.126832544382e-10      -1.451723973759e-13 
    9       1.048433832669e-10       1.527686121181e-15       2.274773517204e-13       0.000000000000e+00       1.106783325560e-09       9.674293929488e-11       1.024705793184e-14 
   10       1.043236782356e-10       1.150554308354e-15       1.830588673738e-13       0.000000000000e+00       9.448901559969e-10       8.405783881517e-11       9.766307481704e-14 
   11       1.043263383273e-10       1.048588211215e-15       1.528614625226e-13       0.000000000000e+00       8.089420654520e-10       7.446721296023e-11       1.300576202299e-13 
   12       1.046901183066e-10       9.758244845839e-16       1.356775264429e-13       0.000000000000e+00       7.069687359104e-10       6.576532126514e-11       1.235680193068e-13 
   13       1.053210767965e-10       8.591602930268e-16       1.292330233028e-13       0.000000000000e+00       6.232267367580e-10       5.862982113878e-11       9.322677185920e-14 
   14       1.062192595542e-10       7.341522752733e-16       1.306207191498e-13       0.000000000000e+00       5.535332598141e-10       5.268313668285e-11       5.214183778505e-14 
   15       1.073050446280e-10       6.554567105278e-16       1.368877955480e-13       0.000000000000e+00       4.948576722316e-10       4.754375147168e-11       1.067221290814e-14 
   16       1.085131640609e-10       6.427137180292e-16       1.455432208772e-13       0.000000000000e+00       4.449575781958e-10       4.317296438196e-11      -2.362012109537e-14 
   17       1.098678730034e-10       6.765078514396e-16       1.546514465960e-13       0.000000000000e+00       4.021415732467e-10       3.936988272730e-11      -4.681718820683e-14 
   18       1.113023590793e-10       7.217024849351e-16       1.629896303725e-13       0.000000000000e+00       3.649762151048e-10       3.601891572023e-11      -5.795689346987e-14 
   19       1.128339444260e-10       7.651086348707e-16       1.701742174577e-13       0.000000000000e+00       3.328623097477e-10       3.309692625410e-11      -5.826002432528e-14 
   20       1.144625406326e-10       8.032083892944e-16       1.761051010631e-13       0.000000000000e+00       3.045765430396e-10       3.051654582525e-11      -5.065545334996e-14 
   21       1.161712937003e-10       8.514303025302e-16       1.811067826626e-13       0.000000000000e+00       2.796744168583e-10       2.821673467747e-11      -3.826385912541e-14 
   22       1.179121539005e-10       9.316786993617e-16       1.857234399903e-13       0.000000000000e+00       2.575568010426e-10       2.611360678565e-11      -2.479969600143e-14 
   23       1.197042563495e-10       1.049692845436e-15       1.904066449848e-13       0.000000000000e+00       2.379278882554e-10       2.420921277139e-11      -1.274968811226e-14 
   24       1.215643661110e-10       1.204235918185e-15       1.955793521404e-13       0.000000000000e+00       2.203398189143e-10       2.250967076773e-11      -4.186330625893e-15 
   25       1.234766184561e-10       1.389836406649e-15       2.014270925841e-13       0.000000000000e+00       2.045541183958e-10       2.099908716841e-11       2.729042146866e-16 
   26       1.254041714331e-10       1.599308844876e-15       2.079883654489e-13       0.000000000000e+00       1.902619352485e-10       1.964051861443e-11       7.120794147309e-16 
   27       1.273565050143e-10       1.831639936933e-15       2.150359641261e-13       0.000000000000e+00       1.773891858883e-10       1.842046288541e-11      -2.149729125881e-15 
   28       1.293448839546e-10       2.087515902219e-15       2.221591004305e-13       0.000000000000e+00       1.657799131632e-10       1.731608473854e-11      -7.061407588910e-15 
   29       1.313682064948e-10       2.367096505552e-15       2.288545885098e-13       0.000000000000e+00       1.551522891325e-10       1.629255376041e-11      -1.250093100065e-14 
   30       1.334327006044e-10       2.668864025204e-15       2.347432523762e-13       0.000000000000e+00       1.454476980356e-10       1.534593404700e-11      -1.749928913710e-14 
   31       1.355366311322e-10       2.990227106760e-15       2.394257618282e-13       0.000000000000e+00       1.365940632052e-10       1.447487729730e-11      -2.110648028917e-14 
   32       1.376694356702e-10       3.328956527501e-15       2.425110723417e-13       0.000000000000e+00       1.284512788934e-10       1.367168047828e-11      -2.244169301691e-14 
   33       1.398327793092e-10       3.687410578563e-15       2.439305256960e-13       0.000000000000e+00       1.209749693502e-10       1.293295629906e-11      -2.165468195415e-14 
   34       1.420250114291e-10       4.069925402660e-15       2.437415148858e-13       0.000000000000e+00       1.140989108148e-10       1.225154574736e-11      -1.933184225093e-14 
   35       1.442391279064e-10       4.480984493913e-15       2.420420031214e-13       0.000000000000e+00       1.077207493130e-10       1.161674172834e-11      -1.616994946376e-14 
   36       1.464786169483e-10       4.922445070471e-15       2.389440208796e-13       0.000000000000e+00       1.018239077676e-10       1.102709182880e-11      -1.265734118540e-14 
   37       1.487456553827e-10       5.395386945492e-15       2.345966805732e-13       0.000000000000e+00       9.638988363425e-11       1.048123116360e-11      -9.299584287008e-15 
   38       1.510360121315e-10       5.900840079609e-15       2.291971793127e-13       0.000000000000e+00       9.136139328048e-11       9.974044650991e-12      -6.713061680932e-15 
   39       1.533424396398e-10       6.439672098246e-15       2.229272537552e-13       0.000000000000e+00       8.666302413954e-11       9.498679970751e-12      -5.455151376226e-15 
   40       1.556679533567e-10       7.012218236031e-15       2.157288853724e-13       0.000000000000e+00       8.228036409122e-11       9.054263325285e-12      -5.427675918014e-15 
   41       1.580159005929e-10       7.618515892492e-15       2.074573397057e-13       0.000000000000e+00       7.820186488438e-11       8.640228780961e-12      -6.282031505515e-15 
   42       1.603858675366e-10       8.258387110131e-15       1.979392949647e-13       0.000000000000e+00       7.439523200707e-11       8.254014689871e-12      -7.572365049490e-15 
   43       1.627756379213e-10       8.931613740468e-15       1.869978918793e-13       0.000000000000e+00       7.081936113548e-11       7.892058067218e-12      -8.840084723551e-15 
   44       1.651887359591e-10       9.638560944624e-15       1.745419043933e-13       0.000000000000e+00       6.746872440890e-11       7.553553575143e-12      -9.914001201176e-15 
   45       1.676285685288e-10       1.037972481086e-14       1.605010374825e-13       0.000000000000e+00       6.433988579874e-11       7.237578190277e-12      -1.069301290228e-14 
   46       1.700960363768e-10       1.115555848299e-14       1.448010576172e-13       0.000000000000e+00       6.141817470286e-11       6.941933278317e-12      -1.106274363546e-14 
   47       1.725892879460e-10       1.196647031014e-14       1.273635257395e-13       0.000000000000e+00       5.867681020830e-11       6.663047420018e-12      -1.089491554344e-14 
   48       1.751051909019e-10       1.281279716633e-14       1.081278341402e-13       0.000000000000e+00       5.608514004321e-11       6.397066583084e-12      -1.010290480140e-14 
   49       1.776448116245e-10       1.369471983252e-14       8.712528576539e-14       0.000000000000e+00       5.363814713664e-11       6.143714767833e-12      -8.828390405474e-15 
   50       1.802090573670e-10       1.461232058294e-14       6.442543818462e-14       0.000000000000e+00       5.133375598179e-11       5.903354674414e-12      -7.306242042136e-15 
   51       1.827969387820e-10       1.556560289251e-14       4.011647238498e-14       0.000000000000e+00       4.916404355055e-11       5.675859678321e-12      -5.815115320453e-15 
   52       1.854054113867e-10       1.655448831979e-14       1.430606370253e-14       0.000000000000e+00       4.711482859144e-11       5.460577235249e-12      -4.679691184529e-15 
   53       1.880310923124e-10       1.757889325081e-14      -1.290804274444e-14       0.000000000000e+00       4.517012061790e-11       5.256601204900e-12      -4.186811690504e-15 
   54       1.906762937430e-10       1.863898947361e-14      -4.153719343047e-14       0.000000000000e+00       4.332775535362e-11       5.063755271192e-12      -4.303414962389e-15 
   55       1.933442646292e-10       1.973500517602e-14      -7.162664577757e-14       0.000000000000e+00       4.158706403525e-11       4.881798621435e-12      -4.889972200832e-15 
   56       1.960373730983e-10       2.086715117602e-14      -1.032278949165e-13       0.000000000000e+00       3.994416336171e-11       4.710116051839e-12      -5.778902638841e-15 
   57       1.987570265479e-10       2.203562115315e-14      -1.363990730067e-13       0.000000000000e+00       3.839174855273e-11       4.547694324957e-12      -6.773202738897e-15 
   58       2.015035917397e-10       2.324059187996e-14      -1.712053485556e-13       0.000000000000e+00       3.691888640734e-11       4.393098527120e-12      -7.645075390062e-15 
   59       2.042769374176e-10       2.448212023146e-14      -2.077055745432e-13       0.000000000000e+00       3.551402208391e-11       4.244857551520e-12      -8.191388568080e-15 
   60       2.070783907935e-10       2.575980575829e-14      -2.459077050151e-13       0.000000000000e+00       3.417528484048e-11       4.102778781907e-12      -8.418204301244e-15 
   61       2.099090950008e-10       2.707305002277e-14      -2.858037122358e-13       0.000000000000e+00       3.290221410790e-11       3.966897475319e-12      -8.396756283292e-15 
   62       2.127693689159e-10       2.842114973005e-14      -3.273823620841e-13       0.000000000000e+00       3.169266019920e-11       3.837084906442e-12      -8.210932553834e-15 
   63       2.156586483545e-10       2.980329346047e-14      -3.706291472310e-13       0.000000000000e+00       3.054268630776e-11       3.713038593711e-12      -7.957831117939e-15 
   64       2.185754272685e-10       3.121855840196e-14      -4.155262203171e-13       0.000000000000e+00       2.944647050561e-11       3.594272525422e-12      -7.748315565711e-15 
   65       2.215180822460e-10       3.266604189449e-14      -4.620551419964e-13       0.000000000000e+00       2.839791028287e-11       3.480271015752e-12      -7.681618488653e-15 
   66       2.244876810496e-10       3.414529578341e-14      -5.102059516022e-13       0.000000000000e+00       2.739605125673e-11       3.371010098781e-12      -7.761652254902e-15 
   67       2.274856655185e-10       3.565597848522e-14      -5.599699037159e-13       0.000000000000e+00       2.644063637901e-11       3.266529411232e-12      -7.963915156804e-15 
   68       2.305129872903e-10       3.719772878644e-14      -6.113368345015e-13       0.000000000000e+00       2.553045540735e-11       3.166773206395e-12      -8.259712536107e-15 
   69       2.335700737051e-10       3.877016634689e-14      -6.642951736210e-13       0.000000000000e+00       2.466329452697e-11       3.071585157291e-12      -8.615986467785e-15 
   70       2.366567937091e-10       4.037289220309e-14      -7.188319561487e-13       0.000000000000e+00       2.383588597246e-11       2.980703159836e-12      -8.995145443877e-15 
   71       2.397724237598e-10       4.200548927153e-14      -7.749328344870e-13       0.000000000000e+00       2.304385764960e-11       2.893754136009e-12      -9.354894057308e-15 
   72       2.429161468009e-10       4.366737435396e-14      -8.325788504217e-13       0.000000000000e+00       2.228285656258e-11       2.810352099816e-12      -9.657081699545e-15 
   73       2.460887358425e-10       4.535732014675e-14      -8.917360074902e-13       0.000000000000e+00       2.155228069788e-11       2.730425696137e-12      -9.896593511157e-15 
   74       2.492911334326e-10       4.707384196366e-14      -9.523637092432e-13       0.000000000000e+00       2.085217576918e-11       2.653944434171e-12      -1.007772307957e-14 
   75       2.525239256662e-10       4.881533526653e-14      -1.014417760756e-12       0.000000000000e+00       2.018210170435e-11       2.580818204343e-12      -1.020567978327e-14 
   76       2.557873202603e-10       5.058007277834e-14      -1.077850306574e-12       0.000000000000e+00       1.954110906647e-11       2.510894439069e-12      -1.028662438921e-14 
   77       2.590811246287e-10       5.236620159607e-14      -1.142609768658e-12       0.000000000000e+00       1.892771547477e-11       2.443955273519e-12      -1.032770465019e-14 
   78       2.624047239562e-10       5.417174030375e-14      -1.208640784331e-12       0.000000000000e+00       1.833988202568e-11       2.379714706380e-12      -1.033709090223e-14 
   79       2.657570592740e-10       5.599457608543e-14      -1.275884144224e-12       0.000000000000e+00       1.777498971382e-11       2.317815760620e-12      -1.032401166201e-14 
   80       2.691371098732e-10       5.783268272228e-14      -1.344283656945e-12       0.000000000000e+00       1.723048918992e-11       2.257918368776e-12      -1.029676103021e-14 
   81       2.725454852651e-10       5.968482453508e-14      -1.413808252554e-12       0.000000000000e+00       1.670603186005e-11       2.199986852208e-12      -1.025624406839e-14 
